"participant","sex","include","time","sets","leg","exercise","load"
"FP23","male","incl","pre","multiple","R","legpress",170
"FP23","male","incl","pre","single","L","legpress",170
"FP23","male","incl","pre","multiple","R","legext",65
"FP23","male","incl","pre","single","L","legext",65
"FP23","male","incl","session1","multiple","R","legpress",190
"FP23","male","incl","session1","single","L","legpress",195
"FP23","male","incl","session1","multiple","R","legext",65
"FP23","male","incl","session1","single","L","legext",65
"FP23","male","incl","week2","multiple","R","legpress",190
"FP23","male","incl","week2","single","L","legpress",195
"FP23","male","incl","week2","multiple","R","legext",70
"FP23","male","incl","week2","single","L","legext",70
"FP23","male","incl","week5","multiple","R","legpress",220
"FP23","male","incl","week5","single","L","legpress",215
"FP23","male","incl","week5","multiple","R","legext",75
"FP23","male","incl","week5","single","L","legext",75
"FP23","male","incl","week9","multiple","R","legpress",245
"FP23","male","incl","week9","single","L","legpress",235
"FP23","male","incl","week9","multiple","R","legext",80
"FP23","male","incl","week9","single","L","legext",85
"FP23","male","incl","post","multiple","R","legpress",250
"FP23","male","incl","post","single","L","legpress",240
"FP23","male","incl","post","multiple","R","legext",80
"FP23","male","incl","post","single","L","legext",85
"FP21","male","incl","pre","multiple","R","legpress",240
"FP21","male","incl","pre","single","L","legpress",200
"FP21","male","incl","pre","multiple","R","legext",85
"FP21","male","incl","pre","single","L","legext",80
"FP21","male","incl","session1","multiple","R","legpress",285
"FP21","male","incl","session1","single","L","legpress",245
"FP21","male","incl","session1","multiple","R","legext",95
"FP21","male","incl","session1","single","L","legext",95
"FP21","male","incl","week2","multiple","R","legpress",295
"FP21","male","incl","week2","single","L","legpress",260
"FP21","male","incl","week2","multiple","R","legext",97.5
"FP21","male","incl","week2","single","L","legext",95
"FP21","male","incl","week5","multiple","R","legpress",325
"FP21","male","incl","week5","single","L","legpress",295
"FP21","male","incl","week5","multiple","R","legext",115
"FP21","male","incl","week5","single","L","legext",105
"FP21","male","incl","week9","multiple","R","legpress",NA
"FP21","male","incl","week9","single","L","legpress",NA
"FP21","male","incl","week9","multiple","R","legext",NA
"FP21","male","incl","week9","single","L","legext",NA
"FP21","male","incl","post","multiple","R","legpress",385
"FP21","male","incl","post","single","L","legpress",355
"FP21","male","incl","post","multiple","R","legext",135
"FP21","male","incl","post","single","L","legext",110
"FP38","female","incl","pre","multiple","R","legpress",210
"FP38","female","incl","pre","single","L","legpress",210
"FP38","female","incl","pre","multiple","R","legext",70
"FP38","female","incl","pre","single","L","legext",65
"FP38","female","incl","session1","multiple","R","legpress",230
"FP38","female","incl","session1","single","L","legpress",230
"FP38","female","incl","session1","multiple","R","legext",75
"FP38","female","incl","session1","single","L","legext",67.5
"FP38","female","incl","week2","multiple","R","legpress",240
"FP38","female","incl","week2","single","L","legpress",245
"FP38","female","incl","week2","multiple","R","legext",77.5
"FP38","female","incl","week2","single","L","legext",75
"FP38","female","incl","week5","multiple","R","legpress",255
"FP38","female","incl","week5","single","L","legpress",255
"FP38","female","incl","week5","multiple","R","legext",80
"FP38","female","incl","week5","single","L","legext",77.5
"FP38","female","incl","week9","multiple","R","legpress",NA
"FP38","female","incl","week9","single","L","legpress",NA
"FP38","female","incl","week9","multiple","R","legext",NA
"FP38","female","incl","week9","single","L","legext",NA
"FP38","female","incl","post","multiple","R","legpress",NA
"FP38","female","incl","post","single","L","legpress",257.5
"FP38","female","incl","post","multiple","R","legext",92.5
"FP38","female","incl","post","single","L","legext",85
"FP22","female","incl","pre","single","R","legpress",140
"FP22","female","incl","pre","multiple","L","legpress",125
"FP22","female","incl","pre","single","R","legext",40
"FP22","female","incl","pre","multiple","L","legext",40
"FP22","female","incl","session1","single","R","legpress",150
"FP22","female","incl","session1","multiple","L","legpress",140
"FP22","female","incl","session1","single","R","legext",40
"FP22","female","incl","session1","multiple","L","legext",40
